Variable,Level,Odds Ratio,95% CI Lower,95% CI Upper,Z,p,datlab
_Intercept,(Intercept),0.05,0.03,0.07,-16.43,0,Zero-Dose versus any vaccination
Thinking/Feeling,1. Positive Thinking/Feeling (ref),1,1,1,,,Zero-Dose versus any vaccination
Thinking/Feeling,2. Moderate Thinking/Feeling,2.07,1.97,2.18,27.9,0,Zero-Dose versus any vaccination
Thinking/Feeling,3. Negative Thinking/Feeling,5.31,4.98,5.66,51.25,0,Zero-Dose versus any vaccination
Social Processes,1. Positive Norms (ref),1,1,1,,,Zero-Dose versus any vaccination
Social Processes,2. Positive Norms with low autonomy,1.06,1.01,1.12,2.34,0.02,Zero-Dose versus any vaccination
Social Processes,3. Negative Norms,1.9,1.8,2,23.85,0,Zero-Dose versus any vaccination
Practical Issues,1. Fewer Practical Issues (ref),1,1,1,,,Zero-Dose versus any vaccination
Practical Issues,2. More Practical Issues,1.66,1.58,1.74,21.43,0,Zero-Dose versus any vaccination
Motivation,1. Motivated (ref),1,1,1,,,Zero-Dose versus any vaccination
Motivation,2. Unmotivated or unsure,5.22,4.93,5.52,57.3,0,Zero-Dose versus any vaccination
Setting,Urban (ref),1,1,1,,,Zero-Dose versus any vaccination
Setting,Rural,1.12,1.04,1.21,3.02,0,Zero-Dose versus any vaccination
Sex of HH Head,male (ref),1,1,1,,,Zero-Dose versus any vaccination
Sex of HH Head,female,1.11,1.02,1.22,2.3,0.02,Zero-Dose versus any vaccination
Ethnicity of HH Head,Luba (ref),1,1,1,,,Zero-Dose versus any vaccination
Ethnicity of HH Head,Kongo,1.47,1.23,1.76,4.26,0,Zero-Dose versus any vaccination
Ethnicity of HH Head,Swahili,1.35,1.2,1.53,4.99,0,Zero-Dose versus any vaccination
Ethnicity of HH Head,Mungala,1.6,1.38,1.85,6.31,0,Zero-Dose versus any vaccination
Ethnicity of HH Head,Autre,1.09,0.98,1.22,1.57,0.12,Zero-Dose versus any vaccination
Marital Status of Caregiver,Married (ref),1,1,1,,,Zero-Dose versus any vaccination
Marital Status of Caregiver,Common-law,0.98,0.93,1.03,-0.86,0.39,Zero-Dose versus any vaccination
Marital Status of Caregiver,Separated,1.08,0.95,1.23,1.17,0.24,Zero-Dose versus any vaccination
Marital Status of Caregiver,Single,1.12,0.99,1.26,1.81,0.07,Zero-Dose versus any vaccination
Marital Status of Caregiver,Divorced,0.99,0.71,1.39,-0.03,0.98,Zero-Dose versus any vaccination
Marital Status of Caregiver,Widowed,0.92,0.72,1.18,-0.66,0.51,Zero-Dose versus any vaccination
Age of Caregiver,> 50 (ref),1,1,1,,,Zero-Dose versus any vaccination
Age of Caregiver,46-50,0.8,0.57,1.1,-1.38,0.17,Zero-Dose versus any vaccination
Age of Caregiver,41-45,0.6,0.46,0.78,-3.76,0,Zero-Dose versus any vaccination
Age of Caregiver,36-40,0.62,0.48,0.8,-3.68,0,Zero-Dose versus any vaccination
Age of Caregiver,31-35,0.62,0.48,0.79,-3.75,0,Zero-Dose versus any vaccination
Age of Caregiver,26-30,0.61,0.47,0.78,-3.88,0,Zero-Dose versus any vaccination
Age of Caregiver,21-25,0.63,0.49,0.81,-3.59,0,Zero-Dose versus any vaccination
Age of Caregiver,18-20,0.68,0.53,0.88,-2.96,0,Zero-Dose versus any vaccination
Age of Caregiver,< 18,0.74,0.56,0.99,-2.02,0.04,Zero-Dose versus any vaccination
