"","level","Complete","Under-Immunized","Zero-Dose"
"n","","42903","32695","20614"
"thinkingfeeling_cllab (%)","1. Positive Thinking/Feeling","35380 (82.5) ","22457 (68.7) "," 6555 (31.8) "
"","2. Moderate Thinking/Feeling"," 6280 (14.6) "," 7850 (24.0) "," 5862 (28.4) "
"","3. Negative Thinking/Feeling"," 1243 ( 2.9) "," 2388 ( 7.3) "," 8197 (39.8) "
"socialprocesses_cllab (%)","1. Positive Norms","18054 (42.1) ","12552 (38.4) "," 4476 (21.7) "
"","2. Positive Norms with low autonomy","18011 (42.0) ","12887 (39.4) "," 5433 (26.4) "
"","3. Negative Norms"," 6838 (15.9) "," 7256 (22.2) ","10705 (51.9) "
"motivation_cllab (%)","1. Motivated","41470 (96.7) ","30275 (92.6) ","11693 (56.7) "
"","2. Unmotivated or unsure"," 1433 ( 3.3) "," 2420 ( 7.4) "," 8921 (43.3) "
"practicalissues_cllab (%)","1. Fewer Practical Issues","26658 (62.1) ","16065 (49.1) "," 5461 (26.5) "
"","2. More Practical Issues","16245 (37.9) ","16630 (50.9) ","15153 (73.5) "
"strate (%)","Urban"," 9696 (22.6) "," 5625 (17.2) "," 2314 (11.2) "
"","Rural","33207 (77.4) ","27070 (82.8) ","18300 (88.8) "
"sex_hhlead (%)","male","40536 (94.5) ","30740 (94.0) ","19082 (92.6) "
"","female"," 2367 ( 5.5) "," 1955 ( 6.0) "," 1532 ( 7.4) "
"ethnie_hhlead (%)","Luba"," 9682 (22.6) "," 7223 (22.1) "," 3064 (14.9) "
"","Kongo","10793 (25.2) "," 4607 (14.1) "," 1666 ( 8.1) "
"","Swahili","11494 (26.8) "," 9631 (29.5) "," 6180 (30.0) "
"","Mungala"," 7518 (17.5) "," 8201 (25.1) "," 7069 (34.3) "
"","Autre"," 3416 ( 8.0) "," 3033 ( 9.3) "," 2635 (12.8) "
"etat_civil_caregiver (%)","Married","24945 (58.1) ","17313 (53.0) ","10667 (51.7) "
"","Common-law","15264 (35.6) ","13190 (40.3) "," 8204 (39.8) "
