Variable,Level,Odds Ratio,95% CI Lower,95% CI Upper,Z,p,datlab
_Intercept,(Intercept),0.25,0.17,0.36,-7.37,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Thinking/Feeling,1. Positive Thinking/Feeling (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Thinking/Feeling,2. Moderate Thinking/Feeling,1.63,1.54,1.71,18.37,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Thinking/Feeling,3. Negative Thinking/Feeling,1.85,1.69,2.03,12.81,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Social Processes,1. Positive Norms (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Social Processes,2. Positive Norms with low autonomy,0.98,0.94,1.02,-0.86,0.39,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Social Processes,3. Negative Norms,1.21,1.15,1.28,7.22,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Practical Issues,1. Fewer Practical Issues (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Practical Issues,2. More Practical Issues,1.38,1.33,1.44,15.48,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Motivation,1. Motivated (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Motivation,2. Unmotivated or unsure,1.6,1.46,1.75,10.08,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Setting,Urban (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Setting,Rural,0.89,0.83,0.95,-3.62,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Sex of HH Head,male (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Sex of HH Head,female,1.06,0.97,1.16,1.23,0.22,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ethnicity of HH Head,Luba (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ethnicity of HH Head,Kongo,0.96,0.86,1.08,-0.64,0.52,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ethnicity of HH Head,Swahili,1,0.9,1.11,0,1,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ethnicity of HH Head,Mungala,0.98,0.86,1.12,-0.27,0.79,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ethnicity of HH Head,Autre,1.16,1.06,1.28,3.09,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Married (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Common-law,1.21,1.16,1.27,8.45,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Separated,1.12,0.98,1.28,1.66,0.1,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Single,1.09,0.97,1.23,1.51,0.13,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Divorced,1,0.69,1.44,0,1,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Widowed,1.23,0.96,1.59,1.63,0.1,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Age of Caregiver,> 50 (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Age of Caregiver,46-50,1.14,0.79,1.65,0.7,0.48,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Age of Caregiver,41-45,1.17,0.87,1.58,1.03,0.3,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Age of Caregiver,36-40,1.18,0.89,1.58,1.14,0.26,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Age of Caregiver,31-35,1.21,0.91,1.61,1.31,0.19,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Age of Caregiver,26-30,1.21,0.91,1.61,1.32,0.19,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Age of Caregiver,21-25,1.32,0.99,1.75,1.88,0.06,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Age of Caregiver,18-20,1.39,1.04,1.86,2.25,0.02,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Age of Caregiver,< 18,1.52,1.11,2.09,2.63,0.01,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Education Level of Caregiver,Higher (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Education Level of Caregiver,Never been to school,1.94,1.67,2.24,8.88,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Education Level of Caregiver,Primary,1.92,1.67,2.2,9.39,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Education Level of Caregiver,Secondary,1.67,1.47,1.9,7.69,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Education Level of Caregiver,Do not know,2.46,1.24,4.87,2.58,0.01,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Education Level of Caregiver,No response,2,1.31,3.04,3.24,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Religion of Caregiver,Catholic (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Religion of Caregiver,No religion,0.98,0.82,1.17,-0.25,0.8,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Religion of Caregiver,Protestant,1.08,1.03,1.14,3.24,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Religion of Caregiver,Kimbanguist,1.16,1.03,1.3,2.54,0.01,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Religion of Caregiver,Muslim,1.18,0.99,1.39,1.88,0.06,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Religion of Caregiver,Revival/Independent Church,1.23,1.17,1.29,7.7,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
