Variable,Level,Odds Ratio,95% CI Lower,95% CI Upper,Z,p,datlab
_Intercept,(Intercept),0.02,0.01,0.03,-17.14,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Thinking/Feeling,1. Positive Thinking/Feeling (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Thinking/Feeling,2. Moderate Thinking/Feeling,2.03,1.9,2.16,22.02,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Thinking/Feeling,3. Negative Thinking/Feeling,5.07,4.7,5.47,42.23,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Social Processes,1. Positive Norms (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Social Processes,2. Positive Norms with low autonomy,1.01,0.95,1.07,0.23,0.82,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Social Processes,3. Negative Norms,1.83,1.72,1.95,19.14,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Practical Issues,1. Fewer Practical Issues (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Practical Issues,2. More Practical Issues,1.68,1.58,1.77,18.05,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Motivation,1. Motivated (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Motivation,2. Unmotivated or unsure,5.6,5.25,5.98,51.32,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Setting,Urban (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Setting,Rural,1.09,1,1.19,1.97,0.05,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Sex of HH Head,male (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Sex of HH Head,female,1.16,1.04,1.3,2.58,0.01,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Ethnicity of HH Head,Luba (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Ethnicity of HH Head,Kongo,1.41,1.15,1.73,3.32,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Ethnicity of HH Head,Swahili,1.29,1.12,1.49,3.51,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Ethnicity of HH Head,Mungala,1.57,1.32,1.86,5.2,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Ethnicity of HH Head,Autre,0.98,0.86,1.11,-0.37,0.71,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Marital Status of Caregiver,Married (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Marital Status of Caregiver,Common-law,1.02,0.97,1.09,0.79,0.43,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Marital Status of Caregiver,Separated,1.16,0.99,1.36,1.82,0.07,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Marital Status of Caregiver,Single,1.18,1.02,1.36,2.21,0.03,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Marital Status of Caregiver,Divorced,1.02,0.67,1.56,0.11,0.91,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
