domain,k,loglik,AIC,BIC,G2,X2,entropy,npar,lrt_pval
Thinking/Feeling,2,-506167.363971428,1012384.72794286,1012635.04802737,414799.28025823,8947424.97395928,0.00130373452889941,25,
Thinking/Feeling,3,-448064.631647553,896205.263295105,896585.749823571,298593.815610492,1279715.32624399,0.012541899220176,38,0
Thinking/Feeling,4,-419904.069382475,839910.13876495,840420.791737364,242272.691080335,944724.577938147,0.0455859856169288,51,0
Thinking/Feeling,5,-403187.541886125,806503.083772251,807143.903188613,208839.636087629,859427.701868035,0.0262294780838469,64,0
Thinking/Feeling,6,-380562.266925389,761278.533850777,762049.519711089,163589.086166148,612298.717616616,0.022689147787316,77,0
Social Processes,2,-921290.544061505,1842635.08812301,1842905.43381429,839628.724449146,9210693.3380962,0.0314835714712931,27,
Social Processes,3,-836253.522119149,1672589.0442383,1672999.56917691,669554.680564428,8413314.71459828,0.0266254810454604,41,0
Social Processes,4,-789647.658086257,1579405.31617251,1579956.02035845,576342.95249865,8911296.4810128,0.0241175004238582,55,0
Social Processes,5,-752532.523518116,1505203.04703623,1505893.9304695,502112.683362363,3399757.51595931,0.0204058296501398,69,0
Social Processes,6,-729666.422941975,1459498.84588395,1460329.90856454,456380.482210084,3098381.12853349,0.0169072280594748,83,0
Motivation,2,-104614.419454692,209246.838909383,209336.954139809,33969.0944581433,26627.5948614839,4.99206981873091e-12,9,
Motivation,3,-94401.1050561105,188830.210112221,188970.38935955,13542.4656609794,10735.9999999906,6.45645288142295e-13,14,0
Practical Issues,2,-879283.212987835,1758628.42597567,1758938.82288047,766565.302797968,10675982.1078876,0.00679918532513158,31,
Practical Issues,3,-817626.807600801,1635347.6152016,1635818.21696049,643252.492023905,9400154.36103506,3.70993176758418e-12,47,0
Practical Issues,4,-772144.912167703,1544415.82433541,1545046.63094839,552288.701157706,5869874.76471929,0.0296951648984139,63,0
Practical Issues,5,-741242.611325129,1482643.22265026,1483434.23411733,490484.09947255,32518218.3876003,0.0532372287876853,79,0
Practical Issues,6,-701711.44661141,1403612.89322282,1404564.10954398,411421.770045121,4994221.65301563,0.0128445269824226,95,0
