V1,GVIF,Df,GVIF^(1/(2*Df))
Confidence in vaccine benefits,8.74941919236733,3,1.43547798837382
Confidence in vaccine safety,11.2165625525854,3,1.49615514523351
Confidence in  healthworkers,6.77425365631347,3,1.37555167185105
Intention to get the child vaccinated,1.43299414282571,3,1.06179514660857
Family norms,2.13092243278173,1,1.45976793798937
Peer norms,1.8263044408547,1,1.35140831759121
Religious leader norms,1.79886101711625,1,1.34121624547135
Community leader norms,2.17235733409768,2,1.21403949705567
Health worker recommendation,1.80077996538466,1,1.3419314309549
Mother's travel autonomy,1.15167031923874,1,1.07315903725344
Know where to get child vaccinated,1.16028707828522,1,1.07716622593044
Affordability,6.91134272201733,3,1.38015248454675
Received recall,1.81358478055118,1,1.34669401890377
Vaccination availability,1.2062199145104,2,1.04798875722794
Ease of access,8.80893588982878,3,1.43710083440667
Service satisfaction,4.24259812179892,3,1.27234625512841
strate,1.81445089555816,1,1.34701555134236
sex_hhlead,1.38941513340171,1,1.17873454747102
ethnie_hhlead,378.736127434877,4,2.10035203441274
etat_civil_caregiver,2.43060481680595,5,1.09287737558484
age_caregiver_grp,1.39612193463657,8,1.02107515598096
education_level_caregiver,1.73101368949358,5,1.05640403230605
religion_caregiver,2.0595833502692,8,1.04619155680277
wealth_quintile,2.43336739033766,4,1.11757315329789
occupation_hhlead,2.76048594581102,8,1.06551997635769
province,3516.25168448826,25,1.1773934055956
svyyear,1.23435698581902,1,1.11101619512004
