Variable,Level,Odds Ratio,95% CI Lower,95% CI Upper,Z,p,datlab
_Intercept,(Intercept),0.29,0.2,0.41,-6.64,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Thinking/Feeling,1. Positive Thinking/Feeling (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Thinking/Feeling,2. Moderate Thinking/Feeling,1.44,1.37,1.52,13.16,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Thinking/Feeling,3. Negative Thinking/Feeling,1.6,1.45,1.76,9.4,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Social Processes,1. Positive Norms (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Social Processes,2. Positive Norms with low autonomy,0.98,0.94,1.02,-1.04,0.3,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Social Processes,3. Negative Norms,1.21,1.15,1.28,7.14,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Practical Issues,1. Fewer Practical Issues (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Practical Issues,2. More Practical Issues,1.56,1.49,1.63,18.74,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Motivation,1. Higher motivation (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Motivation,2. Lower motivation,1.54,1.41,1.69,9.15,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Setting,Urban (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Setting,Rural,0.92,0.86,0.98,-2.58,0.01,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Sex of HH Head,male (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Sex of HH Head,female,1.06,0.97,1.16,1.25,0.21,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ethnicity of HH Head,Luba (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ethnicity of HH Head,Kongo,1.01,0.9,1.13,0.15,0.88,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ethnicity of HH Head,Swahili,1.01,0.91,1.12,0.2,0.84,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ethnicity of HH Head,Mungala,0.97,0.86,1.1,-0.44,0.66,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ethnicity of HH Head,Autre,1.14,1.03,1.25,2.67,0.01,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Married (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Common-law,1.19,1.14,1.24,7.66,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Separated,1.15,1.01,1.32,2.04,0.04,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Single,1.09,0.97,1.23,1.53,0.13,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Divorced,0.93,0.64,1.34,-0.39,0.7,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Marital Status of Caregiver,Widowed,1.15,0.89,1.48,1.04,0.3,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Age of Caregiver,> 50 (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
