Variable,Level,Odds Ratio,95% CI Lower,95% CI Upper,Z,p,datlab
_Intercept,(Intercept),0.02,0.01,0.03,-17.14,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Thinking/Feeling,1. Positive Thinking/Feeling (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Thinking/Feeling,2. Moderate Thinking/Feeling,1.78,1.66,1.9,17.1,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Thinking/Feeling,3. Negative Thinking/Feeling,4.46,4.13,4.82,37.73,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Social Processes,1. Positive Norms (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Social Processes,2. Positive Norms with low autonomy,1.01,0.95,1.08,0.39,0.7,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Social Processes,3. Negative Norms,1.79,1.68,1.9,18.37,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Practical Issues,1. Fewer Practical Issues (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Practical Issues,2. More Practical Issues,2.02,1.9,2.14,23.22,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Motivation,1. Higher motivation (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Motivation,2. Lower motivation,5.48,5.13,5.85,50.6,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Setting,Urban (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Setting,Rural,1.09,1,1.19,2.02,0.04,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Sex of HH Head,male (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Sex of HH Head,female,1.16,1.04,1.3,2.65,0.01,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Ethnicity of HH Head,Luba (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Ethnicity of HH Head,Kongo,1.4,1.15,1.72,3.28,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Ethnicity of HH Head,Swahili,1.3,1.12,1.5,3.52,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Ethnicity of HH Head,Mungala,1.56,1.32,1.85,5.11,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Ethnicity of HH Head,Autre,0.98,0.86,1.12,-0.34,0.74,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Marital Status of Caregiver,Married (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Marital Status of Caregiver,Common-law,1.01,0.95,1.07,0.4,0.69,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Marital Status of Caregiver,Separated,1.16,0.99,1.36,1.81,0.07,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Marital Status of Caregiver,Single,1.17,1.01,1.35,2.14,0.03,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Marital Status of Caregiver,Divorced,1.01,0.66,1.53,0.03,0.98,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
