Variable,Level,Odds Ratio,95% CI Lower,95% CI Upper,Z,p,datlab
_Intercept,(Intercept),1.09,0.62,1.9,0.3,0.76,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in vaccine benefits,Not at all important (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in vaccine benefits,A little important,1.09,0.83,1.42,0.62,0.53,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in vaccine benefits,Moderately important,1.21,0.96,1.52,1.58,0.11,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in vaccine benefits,Very important,1.22,0.97,1.54,1.73,0.08,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in vaccine safety,Not at all safe (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in vaccine safety,A little safe,1.22,0.93,1.59,1.43,0.15,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in vaccine safety,Moderately Safe,1.09,0.86,1.39,0.7,0.48,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in vaccine safety,Very safe,0.95,0.75,1.19,-0.46,0.64,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in  healthworkers,Not at all (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in  healthworkers,A little,1.25,0.97,1.6,1.75,0.08,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in  healthworkers,Moderately,1.15,0.92,1.45,1.23,0.22,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Confidence in  healthworkers,Very much,1.01,0.81,1.27,0.11,0.91,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Intention to get the child vaccinated,No (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Intention to get the child vaccinated,Not sure,1.81,1.49,2.19,6,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Intention to get the child vaccinated,Yes,0.95,0.83,1.09,-0.67,0.5,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Intention to get the child vaccinated,No Response,1.11,0.77,1.6,0.54,0.59,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Family norms,Yes (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Family norms,No,1.07,1,1.14,1.83,0.07,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Peer norms,Yes (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Peer norms,No,1.21,1.14,1.29,5.86,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Religious leader norms,Yes (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Religious leader norms,No,0.93,0.87,0.99,-2.22,0.03,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Community leader norms,Yes (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Community leader norms,No,1.04,0.97,1.12,1.17,0.24,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Community leader norms,No Response,1.2,1.08,1.33,3.39,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Health worker recommendation,Yes (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Health worker recommendation,No,1.13,1.08,1.19,4.9,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Mother's travel autonomy,Yes (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Mother's travel autonomy,No,0.96,0.92,0.99,-2.29,0.02,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Know where to get child vaccinated,Yes (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Know where to get child vaccinated,No,1.17,1.03,1.32,2.4,0.02,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Affordability,Not at all easy (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Affordability,Quite difficult,0.85,0.77,0.94,-3.08,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Affordability,Moderately easy,0.76,0.7,0.83,-6.25,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Affordability,Very easy,0.82,0.76,0.88,-5.73,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Received recall,Yes (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Received recall,No,1.13,1.08,1.19,4.91,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Vaccination availability,Yes (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Vaccination availability,No,0.76,0.72,0.8,-9.95,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Vaccination availability,No Response,0.58,0.32,1.05,-1.81,0.07,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ease of access,Not at all easy (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ease of access,Quite difficult,0.84,0.72,0.98,-2.17,0.03,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Ease of access,Moderately easy,0.89,0.78,1.02,-1.61,0.11,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
